Report Number,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,,,,
61,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,,,,
62,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,,,,
63,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,,,,
64,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,,,,
65,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,,,
66,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,,,,
67,Bhopal,306,CYBERCRIME,25,M,None,Other Crime,6,No,,,,
68,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,,,,
69,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,,,,
70,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,,,
71,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,,,
72,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,,,,
73,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,,,
74,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,,,,
75,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,,,
76,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,,,,
77,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,,,
78,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,,,,
79,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,,,
80,Visakhapatnam,154,VEHICLE - STOLEN,54,F,None,Violent Crime,15,Yes,,,,
81,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,,,,
82,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,,,
83,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,,,,
84,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,,,,
85,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,,,,
86,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,,,,
87,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,,,,
88,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,,,
89,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,,,
90,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,,,
91,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,,,
92,Jaipur,510,CYBERCRIME,60,F,None,Other Crime,7,No,,,,
93,Hyderabad,597,FRAUD,53,M,None,Other Crime,13,Yes,,,,
94,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,,,
95,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,,,
96,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,,,
97,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,,,,
98,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,,,,
99,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,,,,
100,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,,,,
101,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,,,,
102,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,,,
103,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,,,
104,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,,,,
105,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,,,
106,Hyderabad,583,VEHICLE - STOLEN,69,F,None,Violent Crime,12,Yes,,,,
107,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,,,
108,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,,,,
109,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,,,
110,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,,,
111,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,,,,
112,Delhi,183,COUNTERFEITING,37,F,None,Other Crime,6,No,,,,
113,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,,,,
114,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,,,,
115,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,,,,
116,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,,,
117,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,,,,
118,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,,,,
119,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,,,,
120,Pune,537,TRAFFIC VIOLATION,70,M,None,Traffic Fatality,3,Yes,,,,
121,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,,,,
122,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,,,,
123,Bhopal,432,VANDALISM,60,F,None,Other Crime,4,No,,,,
124,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,,,,
125,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,,,,
126,Pune,127,ASSAULT,62,F,None,Violent Crime,10,No,,,,
127,Surat,117,FIREARM OFFENSE,42,F,None,Fire Accident,8,No,,,,
128,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,,,,
129,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,,,,
130,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,,,,
131,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,,,,
132,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,,,
133,Bangalore,309,HOMICIDE,18,M,None,Other Crime,2,No,,,,
134,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,,,
135,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,,,,
136,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,,,,
137,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,,,,
138,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,,,,
139,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,,,,
140,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,,,,
141,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,,,,
142,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,,,,
143,Mumbai,278,ILLEGAL POSSESSION,45,F,None,Other Crime,2,No,,,,
144,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,,,,
145,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,,,,
146,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,,,,
147,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,,,,
148,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,,,
149,Agra,558,IDENTITY THEFT,41,F,None,Violent Crime,5,Yes,,,,
150,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,,,,
151,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,,,,
152,Bangalore,311,ILLEGAL POSSESSION,67,M,None,Other Crime,16,No,,,,
153,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,,,,
154,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,,,,
155,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,,,,
156,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,,,,
157,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,,,,
158,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,,,,
159,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,,,,
160,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,,,,
161,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,,,,
162,Surat,420,CYBERCRIME,17,F,None,Other Crime,12,No,,,,
163,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,,,,
164,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,,,,
165,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,,,,
166,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,,,,
167,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,,,,
168,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,,,,
169,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,,,,
170,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,,,,
171,Agra,352,COUNTERFEITING,24,M,None,Other Crime,14,Yes,,,,
172,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,4,No,,,,
173,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,,,,
174,Indore,438,DRUG OFFENSE,40,F,None,Other Crime,7,No,,,,
175,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,,,,
176,Lucknow,292,BURGLARY,66,F,None,Other Crime,14,Yes,,,,
177,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,,,,
178,Mumbai,331,ILLEGAL POSSESSION,54,F,None,Other Crime,11,No,,,,
179,Agra,191,FRAUD,42,F,Knife,Other Crime,8,No,,,,
180,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,Yes,,,,
181,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,,,,
182,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,,,,
183,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,,,,
184,Hyderabad,422,SEXUAL ASSAULT,27,F,None,Violent Crime,4,No,,,,
185,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,,,,
186,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,,,,
187,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,,,,
188,Nagpur,236,IDENTITY THEFT,66,F,None,Violent Crime,14,Yes,,,,
189,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,Yes,,,,
190,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,15,Yes,,,,
191,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,9,No,,,,
192,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,Yes,,,,
193,Ghaziabad,249,PUBLIC INTOXICATION,19,F,None,Other Crime,3,No,,,,
194,Jaipur,389,DOMESTIC VIOLENCE,49,M,None,Violent Crime,12,Yes,,,,
195,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,Other Crime,12,No,,,,
196,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,4,Yes,,,,
197,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,Other Crime,1,Yes,,,,
198,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,10,Yes,,,,
199,Delhi,367,ARSON,62,F,Firearm,Fire Accident,3,No,,,,
200,Nashik,471,HOMICIDE,56,F,Blunt Object,Other Crime,4,No,,,,
201,Srinagar,365,COUNTERFEITING,27,F,Blunt Object,Other Crime,8,Yes,,,,
202,Nagpur,484,FRAUD,63,M,Explosives,Other Crime,13,No,,,,
203,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,2,Yes,,,,
204,Lucknow,427,KIDNAPPING,16,F,Firearm,Other Crime,5,Yes,,,,
205,Hyderabad,340,SHOPLIFTING,59,F,Other,Other Crime,13,Yes,,,,
206,Thane,246,VEHICLE - STOLEN,44,F,None,Violent Crime,7,Yes,,,,
207,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,3,Yes,,,,
208,Patna,542,ASSAULT,59,M,None,Violent Crime,2,No,,,,
209,Hyderabad,257,EXTORTION,41,F,Explosives,Other Crime,17,No,,,,
210,Kolkata,573,PUBLIC INTOXICATION,43,F,Knife,Other Crime,18,Yes,,,,
211,Bhopal,148,COUNTERFEITING,15,M,Explosives,Other Crime,6,No,,,,
212,Delhi,439,FIREARM OFFENSE,34,M,Blunt Object,Fire Accident,17,No,,,,
213,Kolkata,598,IDENTITY THEFT,19,F,Firearm,Violent Crime,6,Yes,,,,
214,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,13,Yes,,,,
215,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,Violent Crime,1,Yes,,,,
216,Ahmedabad,163,SHOPLIFTING,14,F,Knife,Other Crime,18,No,,,,
217,Kolkata,572,COUNTERFEITING,73,M,None,Other Crime,2,Yes,,,,
218,Surat,561,FRAUD,49,F,Other,Other Crime,18,No,,,,
219,Pune,336,TRAFFIC VIOLATION,61,M,Other,Traffic Fatality,10,No,,,,
220,Nagpur,563,BURGLARY,68,F,Knife,Other Crime,18,No,,,,
221,Kolkata,218,VEHICLE - STOLEN,24,F,None,Violent Crime,1,Yes,,,,
222,Ludhiana,276,KIDNAPPING,69,F,Poison,Other Crime,7,Yes,,,,
223,Bangalore,570,FRAUD,55,F,Poison,Other Crime,11,No,,,,
224,Chennai,307,ROBBERY,49,F,Knife,Violent Crime,19,Yes,,,,
225,Bangalore,153,CYBERCRIME,40,F,Firearm,Other Crime,5,Yes,,,,
226,Surat,340,HOMICIDE,51,F,Explosives,Other Crime,8,No,,,,
227,Mumbai,365,VANDALISM,35,F,Poison,Other Crime,15,Yes,,,,
228,Pune,269,COUNTERFEITING,65,F,Blunt Object,Other Crime,6,No,,,,
229,Jaipur,247,VEHICLE - STOLEN,61,F,Other,Violent Crime,18,Yes,,,,
230,Ahmedabad,190,VANDALISM,35,M,Poison,Other Crime,8,No,,,,
231,Pune,429,IDENTITY THEFT,45,M,Blunt Object,Violent Crime,1,No,,,,
232,Patna,547,ARSON,32,F,None,Fire Accident,12,Yes,,,,
233,Mumbai,136,HOMICIDE,11,F,Other,Other Crime,9,No,,,,
234,Kolkata,254,ASSAULT,40,M,Poison,Violent Crime,14,No,,,,
235,Mumbai,514,TRAFFIC VIOLATION,23,F,Firearm,Traffic Fatality,19,Yes,,,,
236,Ludhiana,105,ARSON,14,M,Poison,Fire Accident,12,Yes,,,,
237,Visakhapatnam,561,CYBERCRIME,23,M,Other,Other Crime,7,No,,,,
238,Chennai,583,CYBERCRIME,35,M,Knife,Other Crime,4,No,,,,
239,Delhi,418,FIREARM OFFENSE,65,M,Knife,Fire Accident,15,No,,,,
240,Hyderabad,466,FIREARM OFFENSE,51,F,Knife,Fire Accident,13,No,,,,
241,Mumbai,402,COUNTERFEITING,35,F,Other,Other Crime,17,No,,,,
242,Bangalore,188,VANDALISM,59,F,Blunt Object,Other Crime,1,Yes,,,,
243,Pune,512,FRAUD,48,F,Knife,Other Crime,4,Yes,,,,
244,Kalyan,388,SEXUAL ASSAULT,18,F,Poison,Violent Crime,19,Yes,,,,
245,Nagpur,423,ROBBERY,58,F,Firearm,Violent Crime,17,Yes,,,,
246,Kolkata,399,ILLEGAL POSSESSION,65,F,Knife,Other Crime,7,No,,,,
247,Nagpur,432,EXTORTION,38,F,Blunt Object,Other Crime,6,Yes,,,,
248,Ahmedabad,262,IDENTITY THEFT,77,F,Explosives,Violent Crime,13,Yes,,,,
249,Thane,293,DOMESTIC VIOLENCE,70,F,Explosives,Violent Crime,8,Yes,,,,
250,Nagpur,164,EXTORTION,11,F,Other,Other Crime,17,Yes,,,,
251,Delhi,342,FIREARM OFFENSE,45,F,Other,Fire Accident,13,No,,,,
252,Thane,182,SHOPLIFTING,71,F,Firearm,Other Crime,3,Yes,,,,
253,Hyderabad,362,TRAFFIC VIOLATION,11,M,Other,Traffic Fatality,10,Yes,,,,
254,Nashik,123,ILLEGAL POSSESSION,39,M,None,Other Crime,3,Yes,,,,
255,Meerut,233,FIREARM OFFENSE,68,M,Explosives,Fire Accident,18,No,,,,
256,Kolkata,581,PUBLIC INTOXICATION,76,M,Explosives,Other Crime,9,Yes,,,,
257,Hyderabad,230,EXTORTION,47,M,Blunt Object,Other Crime,4,Yes,,,,
258,Ahmedabad,402,IDENTITY THEFT,22,F,Other,Violent Crime,18,No,,,,
259,Mumbai,151,EXTORTION,33,M,Poison,Other Crime,8,Yes,,,,
260,Indore,366,KIDNAPPING,55,F,Firearm,Other Crime,11,No,,,,
261,Chennai,542,BURGLARY,11,F,None,Other Crime,7,Yes,,,,
262,Ghaziabad,145,COUNTERFEITING,49,M,Blunt Object,Other Crime,13,Yes,,,,
263,Kolkata,142,IDENTITY THEFT,56,F,Poison,Violent Crime,12,No,,,,
264,Kanpur,261,SEXUAL ASSAULT,69,F,Knife,Violent Crime,11,Yes,,,,
265,Visakhapatnam,152,COUNTERFEITING,79,F,Blunt Object,Other Crime,14,Yes,,,,
266,Chennai,430,IDENTITY THEFT,17,F,Explosives,Violent Crime,19,No,,,,
267,Nagpur,203,ILLEGAL POSSESSION,71,F,Explosives,Other Crime,6,No,,,,
268,Kanpur,508,KIDNAPPING,16,F,Knife,Other Crime,8,Yes,,,,
269,Surat,590,ROBBERY,71,M,Other,Violent Crime,10,No,,,,
270,Srinagar,491,SHOPLIFTING,50,M,Explosives,Other Crime,11,Yes,,,,
271,Indore,586,DRUG OFFENSE,38,M,Blunt Object,Other Crime,8,No,,,,
272,Hyderabad,292,PUBLIC INTOXICATION,39,F,Knife,Other Crime,3,Yes,,,,
273,Delhi,584,IDENTITY THEFT,36,M,Other,Violent Crime,3,No,,,,
274,Bangalore,515,VEHICLE - STOLEN,56,F,None,Violent Crime,6,No,,,,
275,Bhopal,350,TRAFFIC VIOLATION,78,M,Blunt Object,Traffic Fatality,16,No,,,,
276,Ahmedabad,546,ASSAULT,21,M,Other,Violent Crime,1,No,,,,
277,Indore,115,ASSAULT,10,F,Poison,Violent Crime,14,No,,,,
278,Bhopal,254,TRAFFIC VIOLATION,44,F,Knife,Traffic Fatality,7,No,,,,
279,Chennai,410,TRAFFIC VIOLATION,58,M,Knife,Traffic Fatality,8,Yes,,,,
280,Ludhiana,217,KIDNAPPING,45,F,Blunt Object,Other Crime,18,Yes,,,,
281,Srinagar,189,FIREARM OFFENSE,12,F,Poison,Fire Accident,3,No,,,,
282,Ludhiana,180,FRAUD,62,F,Other,Other Crime,2,Yes,,,,
283,Ludhiana,215,BURGLARY,48,F,Blunt Object,Other Crime,7,No,,,,
284,Mumbai,481,ARSON,55,F,None,Fire Accident,5,Yes,,,,
285,Indore,577,ASSAULT,70,F,Blunt Object,Violent Crime,6,No,,,,
286,Mumbai,212,SHOPLIFTING,38,M,Other,Other Crime,11,Yes,,,,
287,Pune,244,VEHICLE - STOLEN,12,F,Explosives,Violent Crime,3,Yes,,,,
288,Bangalore,363,IDENTITY THEFT,30,F,Firearm,Violent Crime,9,Yes,,,,
289,Chennai,550,ILLEGAL POSSESSION,25,F,Blunt Object,Other Crime,3,Yes,,,,
290,Ahmedabad,484,EXTORTION,22,F,Other,Other Crime,9,No,,,,
291,Chennai,515,SHOPLIFTING,69,F,Explosives,Other Crime,15,No,,,,
292,Chennai,307,BURGLARY,31,F,Poison,Other Crime,16,No,,,,
293,Thane,289,BURGLARY,59,M,Poison,Other Crime,9,No,,,,
294,Chennai,562,ASSAULT,51,F,Blunt Object,Violent Crime,4,Yes,,,,
295,Bangalore,568,DOMESTIC VIOLENCE,48,M,Poison,Violent Crime,6,Yes,,,,
296,Kolkata,262,VANDALISM,62,M,Other,Other Crime,4,Yes,,,,
297,Delhi,546,TRAFFIC VIOLATION,50,M,Explosives,Traffic Fatality,5,No,,,,
298,Kolkata,199,IDENTITY THEFT,32,M,Explosives,Violent Crime,19,Yes,,,,
299,Srinagar,513,SEXUAL ASSAULT,40,F,Other,Violent Crime,1,No,,,,
300,Nagpur,256,ROBBERY,55,F,Blunt Object,Violent Crime,7,Yes,,,,
301,Jaipur,390,IDENTITY THEFT,64,M,None,Violent Crime,6,No,,,,
302,Chennai,206,ARSON,59,F,None,Fire Accident,12,Yes,,,,
303,Kanpur,491,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,4,No,,,,
304,Kalyan,139,PUBLIC INTOXICATION,30,F,None,Other Crime,11,Yes,,,,
305,Pune,126,TRAFFIC VIOLATION,13,F,Knife,Traffic Fatality,13,Yes,,,,
306,Faridabad,431,FIREARM OFFENSE,27,M,Poison,Fire Accident,19,No,,,,
307,Kanpur,528,TRAFFIC VIOLATION,50,F,Firearm,Traffic Fatality,3,Yes,,,,
308,Indore,282,COUNTERFEITING,66,F,Other,Other Crime,5,No,,,,
309,Bangalore,577,SEXUAL ASSAULT,26,M,Firearm,Violent Crime,12,Yes,,,,
310,Ahmedabad,494,DOMESTIC VIOLENCE,35,F,Poison,Violent Crime,9,Yes,,,,
311,Delhi,395,DRUG OFFENSE,29,F,None,Other Crime,6,Yes,,,,
312,Kolkata,276,ARSON,32,F,Firearm,Fire Accident,11,No,,,,
313,Bangalore,560,DRUG OFFENSE,37,F,Firearm,Other Crime,13,No,,,,
314,Bangalore,217,ASSAULT,18,F,Firearm,Violent Crime,6,No,,,,
315,Kanpur,389,BURGLARY,60,M,Poison,Other Crime,1,Yes,,,,
316,Delhi,361,BURGLARY,42,M,Other,Other Crime,11,Yes,,,,
317,Mumbai,269,DOMESTIC VIOLENCE,42,F,Knife,Violent Crime,1,Yes,,,,
